Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,CCE1001,43093,110,Introduction to Eng Design,,Lecture,8/29/18,W,17:30 - 20:00,Elson S. Floyd Hall,D0204,Wilcox,60
Main,CCE2360,40006,500,Geomatics,L1,Lecture,8/29/18,R,17:30 - 19:10,Elson S. Floyd Hall,D0212,Bayha,40
Main,CCE2360,40842,540,Geomatics,B1,Lab or Discussion,8/29/18,T,13:00 - 15:45,Elson S. Floyd Hall,C0112,Bayha,13
Main,CCE2360,40843,545,Geomatics,B1,Lab or Discussion,8/29/18,F,14:30 - 17:15,Elson S. Floyd Hall,C0112,Bayha,13
Main,CCE3350,43550,100,Water Resources Engineering,,Lecture,8/29/18,TR,08:30 - 09:45,Elson S. Floyd Hall,C0141,Hains,30
Main,CCE3360,40844,500,Soil Mechanics,L1,Lecture,8/29/18,MW,09:30 - 10:20,Elson S. Floyd Hall,D0201,Attanayake,45
Main,CCE3360,40845,545,Soil Mechanics,B1,Lab or Discussion,8/29/18,R,16:00 - 18:45,Elson S. Floyd Hall,G0205,Attanayake,15
Main,CCE3360,42122,550,Soil Mechanics,B1,Lab or Discussion,8/29/18,F,08:30 - 11:15,Elson S. Floyd Hall,G0205,Attanayake,15
Main,CCE4300,43263,500,Traffic Design,L1,Lecture,8/29/18,MW,08:30 - 09:20,Elson S. Floyd Hall,D0210,Burdick,40
Main,CCE4300,42275,540,Traffic Design,B1,Lab or Discussion,8/29/18,M,10:30 - 13:20,Elson S. Floyd Hall,C0228,Burdick,20
Main,CCE4300,42276,545,Traffic Design,B1,Lab or Discussion,8/29/18,F,11:30 - 14:20,Elson S. Floyd Hall,C0228,Burdick,20
Main,CCE4310,40008,100,Const Planning And Scheduling,,Lecture,8/29/18,TR,14:30 - 15:45,Elson S. Floyd Hall,C0122,Hains,36
Main,CCE4360,40015,100,Const Est/Bidding/Cost Cntrl,,Lecture,8/29/18,T,16:00 - 18:25,Elson S. Floyd Hall,D0212,Khan,40
Main,CCE4400,40016,100,Intro To Structural Design,,Lecture,8/29/18,TR,10:00 - 11:15,Elson S. Floyd Hall,D0212,Shao,40
Main,CCE4561,43267,100,Found & Earth Ret Struc Desig,,Lecture,8/29/18,TR,13:00 - 14:15,Elson S. Floyd Hall,D0212,Attanayake,40
Main,CCE4830,43513,100,Project Design And Control,,Lecture,8/29/18,M,13:30 - 14:20,Elson S. Floyd Hall,C0124,Hains,36
Main,CCE4850,43092,100,Senior Project,,Lecture,8/29/18,MWF,14:30 - 15:20,Elson S. Floyd Hall,C0123,Hains,30
Main,CCE4990,40021,100,Independent Studies,,Independent Study,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE5400,45653,100,Transportation Planning,,Lecture/Lab/Discussion,8/29/18,W,15:30 - 18:00,Elson S. Floyd Hall,G0209,Kwigizile,18
Main,CCE6020,44336,100,Modeling Anal Civil Eng Appl,,Lecture/Lab/Discussion,8/29/18,TR,16:00 - 17:15,Elson S. Floyd Hall,D0202,Aktan,38
Main,CCE6310,45654,100,Design&anal Constr Operations,,Lecture,8/29/18,M,18:30 - 21:00,Elson S. Floyd Hall,C0123,Liu,40
Main,CCE6460,45655,100,Earthquake Engineering,,Lecture,8/29/18,M,15:00 - 17:20,Elson S. Floyd Hall,D0212,Shao,36
Main,CCE6520,45656,100,Prestressed Concrete Design,,Lecture/Lab/Discussion,8/29/18,TR,13:00 - 14:15,Elson S. Floyd Hall,C0123,Aktan,40
Main,CCE6540,45779,100,Traffic Safety Engineering,,Lecture/Lab/Discussion,8/29/18,R,18:30 - 21:00,Elson S. Floyd Hall,C0123,Kwigizile,40
Main,CCE6850,41997,100,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE6850,41998,105,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Abudayyeh,5
Main,CCE6850,41999,110,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Aktan,5
Main,CCE6850,42000,115,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Attanayake,5
Main,CCE6850,42001,120,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Kwigizile,5
Main,CCE6850,42002,125,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Oh,5
Main,CCE6850,42116,130,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Shao,5
Main,CCE6850,42225,135,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Hains,5
Main,CCE6850,44790,140,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,Hu,5
Main,CCE6850,44791,145,Advanced Design Project,,Independent Study,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE6960,45486,110,Engineering Research Design,,Lecture,8/29/18,TR,10:00 - 11:15,Elson S. Floyd Hall,F0210,Abudayyeh,20
Main,CCE7000,40025,100,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Abudayyeh,5
Main,CCE7000,40026,105,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Aktan,5
Main,CCE7000,40029,110,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Attanayake,5
Main,CCE7000,40030,115,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Hains,5
Main,CCE7000,40031,120,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Hu,5
Main,CCE7000,41287,125,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Kwigizile,5
Main,CCE7000,42117,130,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Oh,5
Main,CCE7000,42226,135,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,Shao,5
Main,CCE7000,44670,140,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE7000,44671,145,Master's Thesis,,Supervision or Practicum,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE7100,40032,100,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Abudayyeh,5
Main,CCE7100,40033,105,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Aktan,5
Main,CCE7100,40034,110,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Attanayake,5
Main,CCE7100,40035,115,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Hains,5
Main,CCE7100,40036,120,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Hu,5
Main,CCE7100,41289,125,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Kwigizile,5
Main,CCE7100,42118,130,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Oh,5
Main,CCE7100,42227,135,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Shao,5
Main,CCE7100,44793,140,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Toutanji,5
Main,CCE7100,44794,145,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,Liu,5
Main,CCE7100,44795,150,Independent Research,,Independent Study,8/29/18,,,Contact Dept for Location,0,,5
Main,CCE7300,44337,100,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Aktan,5
Main,CCE7300,44338,105,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Attanayake,5
Main,CCE7300,44339,110,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Hains,5
Main,CCE7300,44340,115,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Hu,5
Main,CCE7300,44341,120,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Kwigizile,5
Main,CCE7300,44342,125,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Oh,5
Main,CCE7300,44343,130,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Shao,5
Main,CCE7300,44344,135,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Toutanji,5
Main,CCE7300,44567,140,Doctoral Dissertation,,Independent Study,8/29/18,,,Contact Dept for Location,0,Abudayyeh,5
Main,CS1021,41895,500,Intro Engr Comp I: Sprdsheet,L1,Lecture,8/29/18,MW,16:30 - 17:20,Elson S. Floyd Hall,D0109,Mohammed,150
Main,CS1021,40817,540,Intro Engr Comp I: Sprdsheet,B1,Lab or Discussion,8/29/18,T,10:30 - 12:20,Elson S. Floyd Hall,C0229,Chang,28
Main,CS1021,40818,545,Intro Engr Comp I: Sprdsheet,B1,Lab or Discussion,8/29/18,W,13:30 - 15:20,Elson S. Floyd Hall,C0229,Al Shaikhli,28
Main,CS1021,41896,550,Intro Engr Comp I: Sprdsheet,B1,Lab or Discussion,8/29/18,T,17:30 - 19:20,Elson S. Floyd Hall,C0229,Chang,28
Main,CS1021,41897,555,Intro Engr Comp I: Sprdsheet,B1,Lab or Discussion,8/29/18,R,17:30 - 19:20,Elson S. Floyd Hall,C0229,Al Shaikhli,28
Main,CS1022,41898,500,Intro Engr Comp II: Math Soft,L1,Lecture,8/29/18,MW,16:30 - 17:20,Elson S. Floyd Hall,D0109,Mohammed,80
Main,CS1022,40858,540,Intro Engr Comp II: Math Soft,B1,Lab or Discussion,8/29/18,T,10:30 - 12:20,Elson S. Floyd Hall,C0229,Chang,28
