Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,BIOS1050,40424,150,Environmental Biology,,Lecture,8/29/18,TR,11:00 - 12:15,Wood Hall,1001,Ide,220
Main,BIOS1100,40394,100,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,11:30 - 14:20,Wood Hall,1107,Quakenbush,24
Main,BIOS1100,40395,110,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,11:30 - 14:20,Wood Hall,2411,Whitacre,24
Main,BIOS1100,40396,120,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,15:00 - 17:50,Wood Hall,1107,Jackson,24
Main,BIOS1100,40399,130,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,15:00 - 17:50,Wood Hall,2411,Kelley,24
Main,BIOS1100,40401,140,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,18:30 - 21:20,Wood Hall,1107,Jackson,24
Main,BIOS1100,40402,150,Biological Sciences Lab,,Lab or Discussion,8/29/18,M,18:30 - 21:20,Wood Hall,2411,Thompson,24
Main,BIOS1100,40403,160,Biological Sciences Lab,,Lab or Discussion,8/29/18,T,08:00 - 10:50,Wood Hall,1107,Nienhaus,24
Main,BIOS1100,40405,170,Biological Sciences Lab,,Lab or Discussion,8/29/18,T,11:30 - 14:20,Wood Hall,1107,Jackson,24
Main,BIOS1100,40408,190,Biological Sciences Lab,,Lab or Discussion,8/29/18,T,15:00 - 17:50,Wood Hall,1107,Jackson,24
Main,BIOS1100,40411,210,Biological Sciences Lab,,Lab or Discussion,8/29/18,T,18:30 - 21:20,Wood Hall,1107,Marshall,24
Main,BIOS1100,40415,230,Biological Sciences Lab,,Lab or Discussion,8/29/18,W,08:00 - 10:50,Wood Hall,1107,Jackson,24
Main,BIOS1100,40416,240,Biological Sciences Lab,,Lab or Discussion,8/29/18,T,08:00 - 10:50,Wood Hall,2411,Thompson,24
Main,BIOS1100,40417,250,Biological Sciences Lab,,Lab or Discussion,8/29/18,W,11:30 - 14:20,Wood Hall,1107,Quakenbush,24
Main,BIOS1100,40419,270,Biological Sciences Lab,,Lab or Discussion,8/29/18,W,15:00 - 17:50,Wood Hall,1107,Nienhaus,24
Main,BIOS1100,40420,H01,Biological Sciences Lab - HC,,Lab or Discussion,8/29/18,W,18:30 - 21:20,Wood Hall,1107,Marshall,24
Main,BIOS1120,40425,110,Principles Of Biology,,Lecture,8/29/18,TR,14:00 - 15:15,Chemistry Bldg,1720,Coulter,250
Main,BIOS1120,40427,120,Principles Of Biology,,Lecture,8/29/18,MWF,09:00 - 09:50,Wood Hall,1301,Rudge,250
Main,BIOS1120,40426,H01,Principles Of Biology - HC,,Lecture,8/29/18,MW,14:00 - 15:15,Sangren Hall,4735,Coulter,24
Main,BIOS1600,43562,100,Biological Form and Function,,Lecture,8/29/18,MW,15:30 - 16:45,Wood Hall,1301,McCullough,300
Main,BIOS1610,43574,500,Molecular and Cellular Biology,L1,Lecture,8/29/18,MW,14:00 - 15:15,Wood Hall,1718,Geiser,72
Main,BIOS1610,45168,510,Molecular and Cellular Biology,L1,Lecture,8/29/18,TR,11:00 - 12:15,Wood Hall,1710,Geiser,72
Main,BIOS1610,43575,540,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,M,08:00 - 10:50,Wood Hall,2415,Almuhanna,23
Main,BIOS1610,43577,545,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,M,12:00 - 14:50,Wood Hall,2415,Satyanarayan,23
Main,BIOS1610,43580,560,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,T,11:30 - 14:20,Wood Hall,2415,Almuhanna,24
Main,BIOS1610,43585,565,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,T,15:00 - 17:50,Wood Hall,2415,Ojha,24
Main,BIOS1610,43586,570,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,T,18:30 - 21:20,Wood Hall,2415,Ojha,24
Main,BIOS1610,43587,575,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,W,08:00 - 10:50,Wood Hall,2415,White,24
Main,BIOS1610,43588,580,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,W,12:00 - 14:50,Wood Hall,2415,White,24
Main,BIOS1610,43589,585,Molecular and Cellular Biology,B1,Lab or Discussion,8/29/18,W,18:00 - 20:50,Wood Hall,2415,Von Kannon,24
Main,BIOS1610,43576,H01,Molecular & Cellular Bio-HC,L1,Lecture,8/29/18,TR,14:00 - 15:15,Wood Hall,1718,Geiser,48
Main,BIOS1610,43579,H02,Molecular & Cellular Bio -HC,B1,Lab or Discussion,8/29/18,T,08:00 - 10:50,Wood Hall,2415,Van Huizen,24
Main,BIOS1610,43590,H03,Molecular & Cell Bio - HC,B1,Lab or Discussion,8/29/18,R,08:00 - 10:50,Wood Hall,2415,Satyanarayan,24
Main,BIOS1620,43594,500,Ecology and Evolution,L1,Lecture,8/29/18,MWF,11:00 - 11:50,Wood Hall,1001,Gill,180
Main,BIOS1620,43595,540,Ecology and Evolution,B1,Lab or Discussion,8/29/18,T,09:00 - 11:50,Wood Hall,2404,Frazier,20
Main,BIOS1620,43596,545,Ecology and Evolution,B1,Lab or Discussion,8/29/18,T,13:00 - 15:50,Wood Hall,2404,Janik,20
Main,BIOS1620,43597,550,Ecology and Evolution,B1,Lab or Discussion,8/29/18,T,18:00 - 20:50,Wood Hall,2404,Sblendorio,20
Main,BIOS1620,43598,555,Ecology and Evolution,B1,Lab or Discussion,8/29/18,W,13:00 - 15:50,Wood Hall,2404,Eiseman,20
Main,BIOS1620,43599,560,Ecology and Evolution,B1,Lab or Discussion,8/29/18,W,18:00 - 20:50,Wood Hall,2404,Eiseman,20
Main,BIOS1620,43600,565,Ecology and Evolution,B1,Lab or Discussion,8/29/18,R,09:00 - 11:50,Wood Hall,2404,Hopkins,20
Main,BIOS1620,43601,570,Ecology and Evolution,B1,Lab or Discussion,8/29/18,R,13:00 - 15:50,Wood Hall,2404,Hopkins,20
Main,BIOS1620,43602,575,Ecology and Evolution,B1,Lab or Discussion,8/29/18,M,18:00 - 20:50,Wood Hall,2404,Frazier,20
Main,BIOS1620,43603,580,Ecology and Evolution,B1,Lab or Discussion,8/29/18,M,13:00 - 15:50,Wood Hall,2404,Foster,20
Main,BIOS1700,42629,M81,Life Science for Non-Majors,,Lecture/Lab/Discussion,8/29/18,MW,09:00 - 11:20,Wood Hall,1414,Sankey,24
Main,BIOS1700,43159,M82,Life Science for Non-Majors,,Lecture/Lab/Discussion,8/29/18,MW,17:30 - 19:50,Wood Hall,1414,Pawl,24
Main,BIOS1700,42630,M83,Life Science for Non-Majors,,Lecture/Lab/Discussion,8/29/18,MW,13:00 - 15:20,Wood Hall,1414,Wenger,24
Main,BIOS1910,40493,500,Intro To Human Biol & Anatomy,L1,Lecture,8/29/18,MWF,13:00 - 13:50,Wood Hall,1301,Groves,144
Main,BIOS1910,40494,540,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,R,14:00 - 16:50,Wood Hall,2412,Kalata,24
Main,BIOS1910,40495,545,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,R,17:00 - 19:50,Wood Hall,2412,Kalata,24
Main,BIOS1910,40496,550,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,F,08:00 - 10:50,Wood Hall,2412,Cintron-Colon,24
Main,BIOS1910,40497,555,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,F,14:00 - 16:50,Wood Hall,2412,Ray,24
Main,BIOS1910,45419,560,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,R,14:00 - 16:50,Wood Hall,2411,VanGyseghem,24
Main,BIOS1910,45499,565,Intro To Human Biol & Anatomy,B1,Lab or Discussion,8/29/18,R,17:00 - 19:50,Wood Hall,2411,VanGyseghem,24
Main,BIOS2020,40498,500,General Botany,L1,Lecture,8/29/18,TR,11:00 - 12:15,Wood Hall,2708,Barkman,40
Main,BIOS2020,40499,540,General Botany,B1,Lab or Discussion,8/29/18,M,12:00 - 14:50,Wood Hall,1127,Dubs,20
Main,BIOS2020,40500,545,General Botany,B1,Lab or Discussion,8/29/18,M,15:30 - 18:20,Wood Hall,1127,Dubs,20
Main,BIOS2110,40501,500,Human Anatomy,L1,Lecture,8/29/18,MWF,11:00 - 11:50,Wood Hall,1301,Eng,240
Main,BIOS2110,40502,540,Human Anatomy,B1,Lab or Discussion,8/29/18,M,08:00 - 10:50,Wood Hall,2412,Eng,24
Main,BIOS2110,40503,545,Human Anatomy,B1,Lab or Discussion,8/29/18,M,13:00 - 15:50,Wood Hall,2412,Lam,24
Main,BIOS2110,40504,550,Human Anatomy,B1,Lab or Discussion,8/29/18,M,18:30 - 21:20,Wood Hall,2412,Ali,24
Main,BIOS2110,40505,555,Human Anatomy,B1,Lab or Discussion,8/29/18,T,08:00 - 10:50,Wood Hall,2412,Scheib,24
Main,BIOS2110,40506,560,Human Anatomy,B1,Lab or Discussion,8/29/18,T,13:00 - 15:50,Wood Hall,2412,Eng,23
Main,BIOS2110,40507,565,Human Anatomy,B1,Lab or Discussion,8/29/18,T,18:30 - 21:20,Wood Hall,2412,Eng,24
Main,BIOS2110,40508,570,Human Anatomy,B1,Lab or Discussion,8/29/18,W,08:00 - 10:50,Wood Hall,2412,Eng,24
Main,BIOS2110,40509,575,Human Anatomy,B1,Lab or Discussion,8/29/18,W,13:00 - 15:50,Wood Hall,2412,Lam,24
Main,BIOS2110,40511,580,Human Anatomy,B1,Lab or Discussion,8/29/18,W,18:30 - 21:20,Wood Hall,2412,Ali,24
Main,BIOS2110,40513,585,Human Anatomy,B1,Lab or Discussion,8/29/18,R,08:00 - 10:50,Wood Hall,2412,Cintron-Colon,24
Main,BIOS2300,40514,100,Cell Biology,,Lecture,8/29/18,MW,14:00 - 15:15,Wood Hall,1001,Lu,100
Main,BIOS2320,40515,500,Micro Infec Diseases,L1,Lecture,8/29/18,MWF,12:00 - 12:50,Wood Hall,1301,VanEnk,108
Main,BIOS2320,40518,540,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,10:00 - 11:50,Chemistry Bldg,3860,Almeida Alves,18
Main,BIOS2320,42057,545,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,13:00 - 14:50,Chemistry Bldg,3860,VanEnk,18
Main,BIOS2320,40519,550,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,13:00 - 14:50,Chemistry Bldg,3802,Burtchett,18
Main,BIOS2320,42488,555,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,10:00 - 11:50,Chemistry Bldg,3802,Burtchett,18
Main,BIOS2320,40520,560,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,15:00 - 16:50,Chemistry Bldg,3860,VanEnk,18
Main,BIOS2320,40521,565,Micro Infec Diseases,B1,Lab or Discussion,8/29/18,MW,18:00 - 19:50,Chemistry Bldg,3860,Almeida Alves,18
Main,BIOS2400,40522,500,Human Physiology,L1,Lecture,8/29/18,TR,11:00 - 12:15,Knauss Hall,2452,McCullough,216
Main,BIOS2400,40523,540,Human Physiology,B1,Lab or Discussion,8/29/18,W,08:00 - 10:50,Wood Hall,1308,Stanton,24
Main,BIOS2400,40524,545,Human Physiology,B1,Lab or Discussion,8/29/18,W,11:00 - 13:50,Wood Hall,1308,Monaco,24
Main,BIOS2400,42040,550,Human Physiology,B1,Lab or Discussion,8/29/18,W,14:30 - 17:20,Wood Hall,1308,Kana,24
Main,BIOS2400,40525,555,Human Physiology,B1,Lab or Discussion,8/29/18,W,18:00 - 20:50,Wood Hall,1308,Kana,24
Main,BIOS2400,40526,560,Human Physiology,B1,Lab or Discussion,8/29/18,R,08:00 - 10:50,Wood Hall,1308,Kinsey,24
Main,BIOS2400,40527,565,Human Physiology,B1,Lab or Discussion,8/29/18,R,13:00 - 15:50,Wood Hall,1308,Stanton,24
Main,BIOS2400,40528,570,Human Physiology,B1,Lab or Discussion,8/29/18,R,18:00 - 20:50,Wood Hall,1308,Kinsey,24
Main,BIOS2400,40529,575,Human Physiology,B1,Lab or Discussion,8/29/18,F,09:00 - 11:50,Wood Hall,1308,Monaco,24
Main,BIOS2400,40530,580,Human Physiology,B1,Lab or Discussion,8/29/18,F,13:00 - 15:50,Wood Hall,1308,Lian,24
Main,BIOS2500,40531,500,General Genetics,L1,Lecture,8/29/18,TR,09:30 - 10:45,Wood Hall,1301,Yao,145
Main,BIOS2500,44507,540,General Genetics,B1,Lab or Discussion,8/29/18,T,16:00 - 16:50,Sangren Hall,3140,Petrachkova,35
Main,BIOS2500,44508,545,General Genetics,B1,Lab or Discussion,8/29/18,M,16:00 - 16:50,Wood Hall,1728,Petrachkova,35
Main,BIOS2500,44509,550,General Genetics,B1,Lab or Discussion,8/29/18,M,10:00 - 10:50,Wood Hall,2708,Petrachkova,35
Main,BIOS2500,44510,560,General Genetics,B1,Lab or Discussion,8/29/18,W,11:00 - 11:50,Wood Hall,2722,Petrachkova,35
Main,BIOS2600,46201,100,Intro To Developmental Biology,,Lecture,8/29/18,TR,14:00 - 15:15,Sangren Hall,2130,Kane,10
Main,BIOS2700,40532,M85,Everyday Biology: Cells,,Lecture/Lab/Discussion,8/29/18,TR,13:00 - 15:20,Wood Hall,1127,Dai,24
Main,BIOS3000,43074,100,Evolution,,Lecture,8/29/18,MWF,11:00 - 11:50,Wood Hall,2708,Karowe,25
Main,BIOS3010,40533,500,Ecology,L1,Lecture,8/29/18,MW,10:00 - 11:40,Wood Hall,1718,Malcolm,60
Main,BIOS3010,40534,545,Ecology,B1,Lab or Discussion,8/29/18,R,13:00 - 16:50,Wood Hall,1106,Ng,20
Main,BIOS3010,40535,550,Ecology,B1,Lab or Discussion,8/29/18,F,08:00 - 11:50,Wood Hall,1106,Smith,20
Main,BIOS3010,40536,555,Ecology,B1,Lab or Discussion,8/29/18,F,13:00 - 16:50,Wood Hall,1106,Ng,20
Main,BIOS3120,40538,500,Microbiology,L1,Lecture,8/29/18,TR,11:00 - 12:15,Sangren Hall,2710,Docherty,64
Main,BIOS3120,40539,540,Microbiology,B1,Lab or Discussion,8/29/18,TR,09:00 - 10:50,Chemistry Bldg,3802,Spring,16
Main,BIOS3120,40540,545,Microbiology,B1,Lab or Discussion,8/29/18,TR,13:30 - 15:20,Chemistry Bldg,3802,Walser,16
